corner,adc_db,ugf_hz,pm_deg,power_mw,ugf_mhz,dcgain
tt,102.5788,639938.0,81.38388,0.60501096,0.639938,102.5788
ff,102.9762,659529.0,81.31648,0.61014504,0.659529,102.9762
ss,101.5092,614882.0,81.60572,0.60058188,0.614882,101.5092
