 Mos1: Level 1 MOSfet model with Meyer capacitance model
     device           m.xdut.mm13           m.xdut.mm18           m.xdut.mm12
      model              nmos_rvt              nmos_rvt              nmos_rvt
         gm            0.00105858            0.00052926            0.00130523
        gds           1.95008e-06           1.93652e-06            2.4376e-06
        gmb           0.000253049           0.000126517            0.00031201
        cbd                     0                     0                     0
        cbs                     0                     0                     0
        cgs                     0                     0                     0
        cgd                     0                     0                     0
        cgb                     0                     0                     0
       cbd0                     0                     0                     0
     cbdsw0                     0                     0                     0
       cbs0                     0                     0                     0
     cbssw0                     0                     0                     0

