 1.00000000e+00 -1.47445918e+01 
 1.05925373e+00 -1.47445918e+01 
 1.12201845e+00 -1.47445918e+01 
 1.18850223e+00 -1.47445918e+01 
 1.25892541e+00 -1.47445918e+01 
 1.33352143e+00 -1.47445918e+01 
 1.41253754e+00 -1.47445918e+01 
 1.49623566e+00 -1.47445918e+01 
 1.58489319e+00 -1.47445918e+01 
 1.67880402e+00 -1.47445918e+01 
 1.77827941e+00 -1.47445918e+01 
 1.88364909e+00 -1.47445917e+01 
 1.99526231e+00 -1.47445917e+01 
 2.11348904e+00 -1.47445917e+01 
 2.23872114e+00 -1.47445917e+01 
 2.37137371e+00 -1.47445917e+01 
 2.51188643e+00 -1.47445917e+01 
 2.66072506e+00 -1.47445917e+01 
 2.81838293e+00 -1.47445917e+01 
 2.98538262e+00 -1.47445917e+01 
 3.16227766e+00 -1.47445917e+01 
 3.34965439e+00 -1.47445917e+01 
 3.54813389e+00 -1.47445917e+01 
 3.75837404e+00 -1.47445916e+01 
 3.98107171e+00 -1.47445916e+01 
 4.21696503e+00 -1.47445916e+01 
 4.46683592e+00 -1.47445916e+01 
 4.73151259e+00 -1.47445916e+01 
 5.01187234e+00 -1.47445915e+01 
 5.30884444e+00 -1.47445915e+01 
 5.62341325e+00 -1.47445915e+01 
 5.95662144e+00 -1.47445914e+01 
 6.30957344e+00 -1.47445914e+01 
 6.68343918e+00 -1.47445914e+01 
 7.07945784e+00 -1.47445913e+01 
 7.49894209e+00 -1.47445912e+01 
 7.94328235e+00 -1.47445912e+01 
 8.41395142e+00 -1.47445911e+01 
 8.91250938e+00 -1.47445910e+01 
 9.44060876e+00 -1.47445909e+01 
 1.00000000e+01 -1.47445908e+01 
 1.05925373e+01 -1.47445907e+01 
 1.12201845e+01 -1.47445906e+01 
 1.18850223e+01 -1.47445904e+01 
 1.25892541e+01 -1.47445903e+01 
 1.33352143e+01 -1.47445901e+01 
 1.41253754e+01 -1.47445899e+01 
 1.49623566e+01 -1.47445896e+01 
 1.58489319e+01 -1.47445894e+01 
 1.67880402e+01 -1.47445891e+01 
 1.77827941e+01 -1.47445887e+01 
 1.88364909e+01 -1.47445884e+01 
 1.99526231e+01 -1.47445880e+01 
 2.11348904e+01 -1.47445875e+01 
 2.23872114e+01 -1.47445870e+01 
 2.37137371e+01 -1.47445864e+01 
 2.51188643e+01 -1.47445857e+01 
 2.66072506e+01 -1.47445850e+01 
 2.81838293e+01 -1.47445842e+01 
 2.98538262e+01 -1.47445832e+01 
 3.16227766e+01 -1.47445822e+01 
 3.34965439e+01 -1.47445810e+01 
 3.54813389e+01 -1.47445797e+01 
 3.75837404e+01 -1.47445782e+01 
 3.98107171e+01 -1.47445766e+01 
 4.21696503e+01 -1.47445747e+01 
 4.46683592e+01 -1.47445726e+01 
 4.73151259e+01 -1.47445703e+01 
 5.01187234e+01 -1.47445676e+01 
 5.30884444e+01 -1.47445647e+01 
 5.62341325e+01 -1.47445614e+01 
