 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm13.msky130_f m.xdut.xm18.msky130_f m.xdut.xm12.msky130_f
      model xdut.xm13:sky130_fd_p xdut.xm18:sky130_fd_p xdut.xm12:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
        cbd          -2.65672e-18          -3.99188e-14          -5.07928e-18
        cbs           -4.6659e-15          -2.94719e-16          -1.77261e-14
        cdg          -1.30255e-14          -7.60098e-14          -4.82523e-14
        cdd          -6.76549e-18           6.58308e-14          -3.26005e-17
        cds           1.64324e-14           2.97413e-14           6.06344e-14
        csg          -1.94961e-14          -8.21627e-14          -7.22256e-14
        csd           -3.6434e-17           2.75919e-14          -1.37137e-16
        css           2.46193e-14           7.61037e-14           9.08397e-14
        cgb           -4.6965e-15          -1.69583e-14          -2.10162e-14
        cdb          -3.40014e-15          -1.95623e-14          -1.23495e-14
        csb          -5.08672e-15          -2.15329e-14           -1.8477e-14
        cbb           1.31834e-14           5.80536e-14           5.18427e-14
      capbd           2.74479e-15           1.65123e-14            1.0916e-14
      capbs           3.68407e-15           1.47363e-14           1.67696e-14
         qg           3.30795e-14           1.24524e-13           1.25779e-13
         qb          -2.37943e-14          -9.07079e-14          -9.60287e-14
         qd          -3.71754e-15          -1.52421e-14          -1.19114e-14
         qs          -5.56763e-15          -1.85741e-14          -1.78385e-14
       qinv                     0                     0                     0
       qdef                     0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0972983             0.0471464             0.0534503
     vdseff               0.10933              0.048288             0.0790091
       cgso           3.96013e-15           1.58405e-14           1.58405e-14
       cgdo           3.96013e-15           1.58405e-14           1.58405e-14
       cgbo            2.0049e-19           8.01962e-19           8.01962e-19
       weff           3.91124e-06           3.91124e-06           3.91124e-06
       leff           5.00391e-07           5.00391e-07           5.00391e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm20.msky130_f m.xdut.xm15.msky130_f m.xdut.xm19.msky130_f
      model xdut.xm20:sky130_fd_p xdut.xm15:sky130_fd_p xdut.xm19:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
          w                 4e-06                 4e-06                 4e-06
          m                    32                    16                    32
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000309625            0.00031556           0.000299736
         gm            0.00133788            0.00141818            0.00129436
        gds            0.00104662           1.32557e-05            0.00110252
      vdsat             0.0750365             0.0811355             0.0750346
        vth              0.652968              0.663179              0.652973
         id           8.40176e-05           7.94264e-05           8.18809e-05
        ibd          -1.73735e-12          -8.13948e-12          -1.66887e-12
        ibs           1.41058e-23          -8.34433e-13           1.35498e-23
        gbd           3.43635e-11               1.6e-11           3.45084e-11
        gbs           4.15702e-11           1.72542e-11           4.15702e-11
       isub           4.62434e-21           1.68289e-19            4.1994e-21
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs           6.78651e-13            -0.0447731           6.51901e-13
        vgs              0.679897              0.701772              0.679897
        vds             0.0467617              0.453945             0.0447731
        cgg           3.61076e-13           1.55146e-13           3.61891e-13
        cgs          -1.90922e-13          -1.34259e-13          -1.88798e-13
        cgd          -1.38235e-13          -1.57661e-17          -1.41354e-13
        cbg          -2.89383e-14          -3.39627e-14          -2.83314e-14
        cbd          -1.03059e-13          -1.44628e-16          -1.05379e-13
        cbs           1.36321e-14          -1.78114e-14           1.51213e-14
        cdg          -1.62597e-13          -4.86685e-14          -1.63538e-13
        cdd           1.67055e-13           2.26254e-16           1.70521e-13
        cds           3.75388e-14           6.09189e-14           3.52831e-14
        csg          -1.69541e-13          -7.25153e-14          -1.70022e-13
        csd           7.42388e-14          -6.58593e-17           7.62116e-14
        css           1.39751e-13            9.1152e-14           1.38393e-13
        cgb          -3.19194e-14          -2.08713e-14          -3.17395e-14
        cdb          -4.19966e-14          -1.24767e-14          -4.22659e-14
        csb          -4.44497e-14          -1.85708e-14          -4.45834e-14
        cbb           1.18366e-13           5.19188e-14           1.18589e-13
      capbd           3.35391e-14           1.24518e-14           3.35925e-14
      capbs           2.94725e-14           1.67962e-14           2.94725e-14
         qg           2.51448e-13           1.26016e-13           2.51726e-13
         qb          -1.79626e-13          -9.59799e-14          -1.79419e-13
         qd          -3.34092e-14          -1.20465e-14          -3.37449e-14
         qs          -3.84125e-14          -1.79899e-14          -3.85621e-14
       qinv                     0                     0                     0
       qdef                     0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0471213             0.0546842             0.0471187
     vdseff             0.0370225             0.0790277             0.0356981
       cgso            3.1681e-14           1.58405e-14            3.1681e-14
       cgdo            3.1681e-14           1.58405e-14            3.1681e-14
       cgbo           1.60392e-18           8.01962e-19           1.60392e-18
       weff           3.91124e-06           3.91124e-06           3.91124e-06
       leff           5.00391e-07           5.00391e-07           5.00391e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm21.msky130_f m.xdut.xm22.msky130_f m.xdut.xm23.msky130_f
      model xdut.xm21:sky130_fd_p xdut.xm22:sky130_fd_p xdut.xm23:sky130_fd_p
          l                 5e-07                 5e-07                 5e-07
          w                 8e-06                 8e-06                 2e-05
          m                     4                     4                    16
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000198385           0.000195345           0.000343543
         gm           0.000890523            0.00087665            0.00144722
        gds           7.67357e-06           8.35862e-06           1.27723e-05
      vdsat             0.0847299             0.0846629              0.049092
        vth              0.638485              0.638618              0.612952
         id            5.0909e-05           4.99814e-05           6.41877e-05
        ibd           -2.8116e-12          -2.34726e-12          -1.52009e-11
        ibs           2.28285e-23           1.90579e-23           2.64105e-22
        gbd                 4e-12                 4e-12               1.6e-11
        gbs           5.19627e-12           5.19627e-12           2.07851e-11
       isub           4.21488e-17           4.74666e-19           8.66385e-12
      igidl                     0                     0                     0
      igisl                     0                     0                     0
        igs                     0                     0                     0
        igd                     0                     0                     0
        igb                     0                     0                     0
       igcs                     0                     0                     0
       igcd                     0                     0                     0
        vbs            8.7865e-12            7.3352e-12           2.54129e-11
        vgs              0.692899              0.692899              0.576816
        vds              0.692899              0.576816              0.940054
        cgg           7.90349e-14           7.90545e-14           7.06477e-13
        cgs            -6.932e-14          -6.93194e-14          -5.68949e-13
        cgd           3.10022e-17           3.65888e-18           5.27064e-16
        cbg          -1.71188e-14          -1.70964e-14          -1.81395e-13
        cbd          -1.45354e-17          -3.45898e-17           6.04085e-17
        cbs          -8.76466e-15           -8.7735e-15          -9.96259e-14
        cdg          -2.48015e-14          -2.48391e-14          -2.10155e-13
        cdd            1.4915e-17           5.21529e-17          -1.86827e-16
        cds           3.12584e-14           3.12705e-14           2.67543e-13
        csg          -3.71146e-14          -3.71189e-14          -3.14928e-13
        csd          -3.13818e-17           -2.1222e-17          -4.00646e-16
        css           4.68263e-14           4.68224e-14           4.01032e-13
        cgb          -9.74582e-15          -9.73873e-15          -1.38055e-13
        cdb          -6.47184e-15          -6.48354e-15          -5.72015e-14
        csb           -9.6803e-15          -9.68227e-15           -8.5704e-14
        cbb            2.5898e-14           2.59045e-14           2.80961e-13
      capbd            5.6641e-15           6.00479e-15           5.08244e-14
      capbs           7.41009e-15           7.41009e-15           7.43526e-14
         qg           6.13309e-14           6.13287e-14           5.80277e-13
         qb          -4.53297e-14           -4.5327e-14           -4.7055e-13
         qd          -6.40719e-15          -6.41079e-15          -4.39124e-14
         qs          -9.59404e-15           -9.5909e-15          -6.58143e-14
       qinv                     0                     0                     0
       qdef                     0                     0                     0
       gcrg                     0                     0                     0
       gtau                     0                     0                     0
    vgsteff             0.0609383             0.0608443             0.0119743
     vdseff             0.0833623             0.0829825             0.0485474
       cgso           7.96536e-15           7.96536e-15           7.99241e-14
       cgdo           7.96536e-15           7.96536e-15           7.99241e-14
       cgbo            2.0049e-19            2.0049e-19           8.01962e-19
       weff           7.91124e-06           7.91124e-06           1.99112e-05
       leff           5.00391e-07           5.00391e-07           5.00391e-07

 BSIM4v5: Berkeley Short Channel IGFET Model-4
     device m.xdut.xm0.msky130_fd m.xdut.xm1.msky130_fd m.xdut.xm2.msky130_fd
      model xdut.xm0:sky130_fd_pr xdut.xm1:sky130_fd_pr xdut.xm2:sky130_fd_pr
          l                 1e-06                 1e-06                 1e-06
          w                 4e-06                 4e-06                 4e-06
          m                     8                     8                     8
         nf                     1                     1                     1
         sa                     0                     0                     0
         sb                     0                     0                     0
         sd                     0                     0                     0
        sca                     0                     0                     0
        scb                     0                     0                     0
        scc                     0                     0                     0
         sc                     0                     0                     0
        min                     0                     0                     0
         ad                     0                     0                     0
         as                     0                     0                     0
         pd                     0                     0                     0
         ps                     0                     0                     0
        nrd                     0                     0                     0
        nrs                     0                     0                     0
        off                     0                     0                     0
       rbdb                    50                    50                    50
       rbsb                    50                    50                    50
       rbpb                    50                    50                    50
       rbps                    50                    50                    50
       rbpd                    50                    50                    50
     delvto                     0                     0                     0
      mulu0                     1                     1                     1
        xgw                     0                     0                     0
      ngcon                     1                     1                     1
   trnqsmod                     0                     0                     0
   acnqsmod                     0                     0                     0
   rbodymod                     1                     1                     1
   rgatemod                     0                     0                     0
     geomod                     0                     0                     0
    rgeomod                     0                     0                     0
       gmbs           0.000111584           0.000111375           0.000111375
         gm           0.000420108           0.000418979           0.000418979
        gds           1.08264e-06           1.18809e-06           1.18809e-06
      vdsat              0.204358              0.204348              0.204348
        vth               1.04141               1.04142               1.04142
         id                 5e-05           4.98638e-05           4.98638e-05
        ibd          -1.00021e-11          -9.04082e-12          -9.04082e-12
        ibs           9.50194e-23           7.67757e-23           7.67757e-23
        gbd                 8e-12                 8e-12                 8e-12
