 1.00000000e+00  9.76596744e-06 
 1.12201845e+00  9.21966898e-06 
 1.25892541e+00  8.70393006e-06 
 1.41253754e+00  8.21704119e-06 
 1.58489319e+00  7.75738854e-06 
 1.77827941e+00  7.32344854e-06 
 1.99526231e+00  6.91378286e-06 
 2.23872114e+00  6.52703361e-06 
 2.51188643e+00  6.16191887e-06 
 2.81838293e+00  5.81722844e-06 
 3.16227766e+00  5.49181981e-06 
 3.54813389e+00  5.18461436e-06 
 3.98107171e+00  4.89459385e-06 
 4.46683592e+00  4.62079697e-06 
 5.01187234e+00  4.36231619e-06 
 5.62341325e+00  4.11829474e-06 
 6.30957344e+00  3.88792380e-06 
 7.07945784e+00  3.67043978e-06 
 7.94328235e+00  3.46512181e-06 
 8.91250938e+00  3.27128933e-06 
 1.00000000e+01  3.08829988e-06 
 1.12201845e+01  2.91554690e-06 
 1.25892541e+01  2.75245780e-06 
 1.41253754e+01  2.59849201e-06 
 1.58489319e+01  2.45313918e-06 
 1.77827941e+01  2.31591752e-06 
 1.99526231e+01  2.18637221e-06 
 2.23872114e+01  2.06407386e-06 
 2.51188643e+01  1.94861708e-06 
 2.81838293e+01  1.83961920e-06 
 3.16227766e+01  1.73671892e-06 
 3.54813389e+01  1.63957517e-06 
 3.98107171e+01  1.54786596e-06 
 4.46683592e+01  1.46128731e-06 
 5.01187234e+01  1.37955224e-06 
 5.62341325e+01  1.30238984e-06 
 6.30957344e+01  1.22954434e-06 
 7.07945784e+01  1.16077429e-06 
 7.94328235e+01  1.09585175e-06 
 8.91250938e+01  1.03456151e-06 
 1.00000000e+02  9.76700439e-07 
 1.12201845e+02  9.22076738e-07 
 1.25892541e+02  8.70509355e-07 
 1.41253754e+02  8.21827363e-07 
 1.58489319e+02  7.75869401e-07 
 1.77827941e+02  7.32483138e-07 
 1.99526231e+02  6.91524764e-07 
 2.23872114e+02  6.52858520e-07 
 2.51188643e+02  6.16356242e-07 
 2.81838293e+02  5.81896939e-07 
 3.16227766e+02  5.49366394e-07 
 3.54813389e+02  5.18656779e-07 
 3.98107171e+02  4.89666306e-07 
 4.46683592e+02  4.62298882e-07 
 5.01187234e+02  4.36463796e-07 
 5.62341325e+02  4.12075414e-07 
 6.30957344e+02  3.89052899e-07 
 7.07945784e+02  3.67319941e-07 
 7.94328235e+02  3.46804505e-07 
 8.91250938e+02  3.27438589e-07 
 1.00000000e+03  3.09158004e-07 
 1.12201845e+03  2.91902158e-07 
 1.25892541e+03  2.75613855e-07 
 1.41253754e+03  2.60239107e-07 
 1.58489319e+03  2.45726953e-07 
 1.77827941e+03  2.32029292e-07 
 1.99526231e+03  2.19100724e-07 
 2.23872114e+03  2.06898397e-07 
 2.51188643e+03  1.95381866e-07 
 2.81838293e+03  1.84512962e-07 
 3.16227766e+03  1.74255660e-07 
 3.54813389e+03  1.64575966e-07 
 3.98107171e+03  1.55441800e-07 
 4.46683592e+03  1.46822888e-07 
 5.01187234e+03  1.38690671e-07 
 5.62341325e+03  1.31018199e-07 
 6.30957344e+03  1.23780050e-07 
 7.07945784e+03  1.16952244e-07 
 7.94328235e+03  1.10512162e-07 
 8.91250938e+03  1.04438475e-07 
 1.00000000e+04  9.87110717e-08 
 1.12201845e+04  9.33109928e-08 
 1.25892541e+04  8.82203711e-08 
 1.41253754e+04  8.34223727e-08 
 1.58489319e+04  7.89011438e-08 
 1.77827941e+04  7.46417602e-08 
 1.99526231e+04  7.06301821e-08 
 2.23872114e+04  6.68532114e-08 
 2.51188643e+04  6.32984538e-08 
 2.81838293e+04  5.99542850e-08 
 3.16227766e+04  5.68098214e-08 
 3.54813389e+04  5.38548962e-08 
 3.98107171e+04  5.10800411e-08 
 4.46683592e+04  4.84764742e-08 
 5.01187234e+04  4.60360966e-08 
 5.62341325e+04  4.37514968e-08 
 6.30957344e+04  4.16159671e-08 
 7.07945784e+04  3.96235318e-08 
 7.94328235e+04  3.77689910e-08 
 8.91250938e+04  3.60479819e-08 
 1.00000000e+05  3.44570597e-08 
 1.12201845e+05  3.29938010e-08 
 1.25892541e+05  3.16569304e-08 
 1.41253754e+05  3.04464686e-08 
 1.58489319e+05  2.93638976e-08 
 1.77827941e+05  2.84123333e-08 
 1.99526231e+05  2.75966848e-08 
 2.23872114e+05  2.69237724e-08 
 2.51188643e+05  2.64023623e-08 
 2.81838293e+05  2.60430641e-08 
 3.16227766e+05  2.58580321e-08 
 3.54813389e+05  2.58604154e-08 
 3.98107171e+05  2.60635168e-08 
 4.46683592e+05  2.64796548e-08 
 5.01187234e+05  2.71187527e-08 
 5.62341325e+05  2.79867108e-08 
 6.30957344e+05  2.90836156e-08 
 7.07945784e+05  3.04018371e-08 
 7.94328235e+05  3.19240580e-08 
 8.91250938e+05  3.36213159e-08 
 1.00000000e+06  3.54512413e-08 
 1.12201845e+06  3.73568439e-08 
 1.25892541e+06  3.92663939e-08 
 1.41253754e+06  4.10950842e-08 
 1.58489319e+06  4.27491257e-08 
 1.77827941e+06  4.41325939e-08 
 1.99526231e+06  4.51566813e-08 
 2.23872114e+06  4.57501198e-08 
 2.51188643e+06  4.58687563e-08 
 2.81838293e+06  4.55019997e-08 
 3.16227766e+06  4.46744022e-08 
 3.54813389e+06  4.34418851e-08 
 3.98107171e+06  4.18835918e-08 
 4.46683592e+06  4.00914075e-08 
 5.01187234e+06  3.81594622e-08 
 5.62341325e+06  3.61754496e-08 
 6.30957344e+06  3.42147220e-08 
 7.07945784e+06  3.23372703e-08 
 7.94328235e+06  3.05871220e-08 
 8.91250938e+06  2.89934564e-08 
 1.00000000e+07  2.75727474e-08 
 1.12201845e+07  2.63313880e-08 
 1.25892541e+07  2.52684137e-08 
 1.41253754e+07  2.43780797e-08 
 1.58489319e+07  2.36521305e-08 
 1.77827941e+07  2.30816532e-08 
 1.99526231e+07  2.26584385e-08 
 2.23872114e+07  2.23758105e-08 
 2.51188643e+07  2.22289509e-08 
 2.81838293e+07  2.22148231e-08 
 3.16227766e+07  2.23318808e-08 
 3.54813389e+07  2.25797633e-08 
 3.98107171e+07  2.29591292e-08 
 4.46683592e+07  2.34716710e-08 
 5.01187234e+07  2.41202751e-08 
 5.62341325e+07  2.49093006e-08 
 6.30957344e+07  2.58450468e-08 
 7.07945784e+07  2.69365972e-08 
 7.94328235e+07  2.81972954e-08 
 8.91250938e+07  2.96470832e-08 
 1.00000000e+08  3.13158041e-08 
