corner,adc_db,ugf_hz,pm_deg,power_mw,ugf_mhz,dcgain
tt,105.3803,212918.5,88.06664,1.01866176,0.2129185,105.3803
ff,108.8719,321540.2,87.09782,1.0506684600000002,0.3215402,108.8719
ss,100.007,114445.0,88.92938,0.9901206000000001,0.114445,100.007
