Full ngspice MC: n=10,000 workers=16
  pmos_rvt: 8500/10000  123.2/s  ETA 0.2 min
  pmos_rvt: 9000/10000  123.4/s  ETA 0.1 min
  pmos_rvt: 9500/10000  123.4/s  ETA 0.1 min
  pmos_rvt: 10000/10000  123.9/s  ETA 0.0 min
MOS MC ngspice n=10,000 workers=16: pmos_hvt
  pmos_hvt: 500/10000  118.8/s  ETA 1.3 min
  pmos_hvt: 1000/10000  122.2/s  ETA 1.2 min
  pmos_hvt: 1500/10000  122.6/s  ETA 1.2 min
  pmos_hvt: 2000/10000  122.5/s  ETA 1.1 min
  pmos_hvt: 2500/10000  124.2/s  ETA 1.0 min
  pmos_hvt: 3000/10000  125.3/s  ETA 0.9 min
  pmos_hvt: 3500/10000  124.4/s  ETA 0.9 min
  pmos_hvt: 4000/10000  124.2/s  ETA 0.8 min
  pmos_hvt: 4500/10000  122.3/s  ETA 0.7 min
  pmos_hvt: 5000/10000  120.8/s  ETA 0.7 min
  pmos_hvt: 5500/10000  118.3/s  ETA 0.6 min
  pmos_hvt: 6000/10000  117.2/s  ETA 0.6 min
  pmos_hvt: 6500/10000  116.4/s  ETA 0.5 min
  pmos_hvt: 7000/10000  115.8/s  ETA 0.4 min
  pmos_hvt: 7500/10000  116.2/s  ETA 0.4 min
  pmos_hvt: 8000/10000  116.4/s  ETA 0.3 min
  pmos_hvt: 8500/10000  115.9/s  ETA 0.2 min
  pmos_hvt: 9000/10000  115.6/s  ETA 0.1 min
  pmos_hvt: 9500/10000  115.2/s  ETA 0.1 min
  pmos_hvt: 10000/10000  115.0/s  ETA 0.0 min
MOS MC ngspice n=10,000 workers=16: pmos_tox
  pmos_tox: 500/10000  88.2/s  ETA 1.8 min
  pmos_tox: 1000/10000  91.4/s  ETA 1.6 min
  pmos_tox: 1500/10000  93.7/s  ETA 1.5 min
  pmos_tox: 2000/10000  94.0/s  ETA 1.4 min
  pmos_tox: 2500/10000  95.2/s  ETA 1.3 min
  pmos_tox: 3000/10000  96.9/s  ETA 1.2 min
  pmos_tox: 3500/10000  98.0/s  ETA 1.1 min
  pmos_tox: 4000/10000  99.1/s  ETA 1.0 min
  pmos_tox: 4500/10000  99.8/s  ETA 0.9 min
  pmos_tox: 5000/10000  100.1/s  ETA 0.8 min
  pmos_tox: 5500/10000  100.0/s  ETA 0.8 min
  pmos_tox: 6000/10000  100.3/s  ETA 0.7 min
  pmos_tox: 6500/10000  100.8/s  ETA 0.6 min
  pmos_tox: 7000/10000  101.2/s  ETA 0.5 min
  pmos_tox: 7500/10000  101.3/s  ETA 0.4 min
  pmos_tox: 8000/10000  101.6/s  ETA 0.3 min
  pmos_tox: 8500/10000  101.7/s  ETA 0.2 min
  pmos_tox: 9000/10000  102.1/s  ETA 0.2 min
  pmos_tox: 9500/10000  102.7/s  ETA 0.1 min
  pmos_tox: 10000/10000  102.9/s  ETA 0.0 min
BJT MC ngspice n=10,000 workers=16: npn_l1
  npn_l1: 500/10000  111.3/s  ETA 1.4 min
  npn_l1: 1000/10000  110.5/s  ETA 1.4 min
  npn_l1: 1500/10000  107.9/s  ETA 1.3 min
  npn_l1: 2000/10000  107.8/s  ETA 1.2 min
  npn_l1: 2500/10000  108.9/s  ETA 1.1 min
  npn_l1: 3000/10000  109.2/s  ETA 1.1 min
  npn_l1: 3500/10000  110.8/s  ETA 1.0 min
  npn_l1: 4000/10000  111.5/s  ETA 0.9 min
  npn_l1: 4500/10000  110.5/s  ETA 0.8 min
  npn_l1: 5000/10000  110.4/s  ETA 0.8 min
  npn_l1: 5500/10000  110.9/s  ETA 0.7 min
  npn_l1: 6000/10000  111.1/s  ETA 0.6 min
  npn_l1: 6500/10000  111.3/s  ETA 0.5 min
  npn_l1: 7000/10000  111.3/s  ETA 0.4 min
  npn_l1: 7500/10000  111.0/s  ETA 0.4 min
  npn_l1: 8000/10000  110.5/s  ETA 0.3 min
  npn_l1: 8500/10000  109.3/s  ETA 0.2 min
  npn_l1: 9000/10000  109.7/s  ETA 0.2 min
  npn_l1: 9500/10000  109.9/s  ETA 0.1 min
  npn_l1: 10000/10000  110.4/s  ETA 0.0 min
BJT MC ngspice n=10,000 workers=16: pnp_l1
  pnp_l1: 500/10000  110.1/s  ETA 1.4 min
  pnp_l1: 1000/10000  114.7/s  ETA 1.3 min
  pnp_l1: 1500/10000  114.5/s  ETA 1.2 min
  pnp_l1: 2000/10000  114.2/s  ETA 1.2 min
  pnp_l1: 2500/10000  115.2/s  ETA 1.1 min
  pnp_l1: 3000/10000  115.2/s  ETA 1.0 min
  pnp_l1: 3500/10000  115.2/s  ETA 0.9 min
  pnp_l1: 4000/10000  114.2/s  ETA 0.9 min
  pnp_l1: 4500/10000  113.9/s  ETA 0.8 min
  pnp_l1: 5000/10000  114.2/s  ETA 0.7 min
  pnp_l1: 5500/10000  114.0/s  ETA 0.7 min
  pnp_l1: 6000/10000  113.8/s  ETA 0.6 min
  pnp_l1: 6500/10000  113.7/s  ETA 0.5 min
  pnp_l1: 7000/10000  113.7/s  ETA 0.4 min
  pnp_l1: 7500/10000  113.3/s  ETA 0.4 min
  pnp_l1: 8000/10000  113.3/s  ETA 0.3 min
  pnp_l1: 8500/10000  112.9/s  ETA 0.2 min
  pnp_l1: 9000/10000  113.0/s  ETA 0.1 min
  pnp_l1: 9500/10000  112.9/s  ETA 0.1 min
