 1.00000000e+00  9.00065482e+01 
 1.05925373e+00  9.00061816e+01 
 1.12201845e+00  9.00058354e+01 
 1.18850223e+00  9.00055087e+01 
 1.25892541e+00  9.00052002e+01 
 1.33352143e+00  9.00049089e+01 
 1.41253754e+00  9.00046339e+01 
 1.49623566e+00  9.00043742e+01 
 1.58489319e+00  9.00041291e+01 
 1.67880402e+00  9.00038976e+01 
 1.77827941e+00  9.00036791e+01 
 1.88364909e+00  9.00034727e+01 
 1.99526231e+00  9.00032779e+01 
 2.11348904e+00  9.00030939e+01 
 2.23872114e+00  9.00029202e+01 
 2.37137371e+00  9.00027562e+01 
 2.51188643e+00  9.00026013e+01 
 2.66072506e+00  9.00024550e+01 
 2.81838293e+00  9.00023169e+01 
 2.98538262e+00  9.00021864e+01 
 3.16227766e+00  9.00020632e+01 
 3.34965439e+00  9.00019468e+01 
 3.54813389e+00  9.00018369e+01 
 3.75837404e+00  9.00017330e+01 
 3.98107171e+00  9.00016349e+01 
 4.21696503e+00  9.00015423e+01 
 4.46683592e+00  9.00014547e+01 
 4.73151259e+00  9.00013720e+01 
 5.01187234e+00  9.00012938e+01 
 5.30884444e+00  9.00012199e+01 
 5.62341325e+00  9.00011500e+01 
 5.95662144e+00  9.00010840e+01 
 6.30957344e+00  9.00010215e+01 
 6.68343918e+00  9.00009625e+01 
 7.07945784e+00  9.00009066e+01 
 7.49894209e+00  9.00008537e+01 
 7.94328235e+00  9.00008037e+01 
 8.41395142e+00  9.00007563e+01 
 8.91250938e+00  9.00007114e+01 
 9.44060876e+00  9.00006689e+01 
 1.00000000e+01  9.00006286e+01 
 1.05925373e+01  9.00005904e+01 
 1.12201845e+01  9.00005541e+01 
 1.18850223e+01  9.00005197e+01 
 1.25892541e+01  9.00004870e+01 
 1.33352143e+01  9.00004559e+01 
 1.41253754e+01  9.00004263e+01 
 1.49623566e+01  9.00003982e+01 
 1.58489319e+01  9.00003714e+01 
 1.67880402e+01  9.00003457e+01 
 1.77827941e+01  9.00003213e+01 
 1.88364909e+01  9.00002979e+01 
 1.99526231e+01  9.00002755e+01 
 2.11348904e+01  9.00002540e+01 
 2.23872114e+01  9.00002333e+01 
 2.37137371e+01  9.00002134e+01 
 2.51188643e+01  9.00001943e+01 
 2.66072506e+01  9.00001757e+01 
 2.81838293e+01  9.00001578e+01 
 2.98538262e+01  9.00001404e+01 
 3.16227766e+01  9.00001234e+01 
 3.34965439e+01  9.00001068e+01 
 3.54813389e+01  9.00000907e+01 
 3.75837404e+01  9.00000748e+01 
 3.98107171e+01  9.00000591e+01 
 4.21696503e+01  9.00000437e+01 
 4.46683592e+01  9.00000283e+01 
 4.73151259e+01  9.00000131e+01 
 5.01187234e+01  8.99999980e+01 
 5.30884444e+01  8.99999828e+01 
 5.62341325e+01  8.99999676e+01 
 5.95662144e+01  8.99999522e+01 
 6.30957344e+01  8.99999367e+01 
 6.68343918e+01  8.99999210e+01 
 7.07945784e+01  8.99999050e+01 
 7.49894209e+01  8.99998887e+01 
 7.94328235e+01  8.99998721e+01 
 8.41395142e+01  8.99998550e+01 
 8.91250938e+01  8.99998374e+01 
 9.44060876e+01  8.99998193e+01 
 1.00000000e+02  8.99998006e+01 
 1.05925373e+02  8.99997813e+01 
 1.12201845e+02  8.99997612e+01 
 1.18850223e+02  8.99997403e+01 
 1.25892541e+02  8.99997186e+01 
 1.33352143e+02  8.99996959e+01 
 1.41253754e+02  8.99996723e+01 
 1.49623566e+02  8.99996475e+01 
 1.58489319e+02  8.99996216e+01 
 1.67880402e+02  8.99995944e+01 
 1.77827941e+02  8.99995658e+01 
 1.88364909e+02  8.99995359e+01 
 1.99526231e+02  8.99995044e+01 
 2.11348904e+02  8.99994712e+01 
 2.23872114e+02  8.99994363e+01 
 2.37137371e+02  8.99993995e+01 
 2.51188643e+02  8.99993608e+01 
 2.66072506e+02  8.99993199e+01 
 2.81838293e+02  8.99992768e+01 
 2.98538262e+02  8.99992312e+01 
 3.16227766e+02  8.99991832e+01 
 3.34965439e+02  8.99991324e+01 
 3.54813389e+02  8.99990787e+01 
 3.75837404e+02  8.99990220e+01 
 3.98107171e+02  8.99989620e+01 
 4.21696503e+02  8.99988986e+01 
 4.46683592e+02  8.99988316e+01 
 4.73151259e+02  8.99987607e+01 
 5.01187234e+02  8.99986856e+01 
 5.30884444e+02  8.99986062e+01 
 5.62341325e+02  8.99985222e+01 
 5.95662144e+02  8.99984333e+01 
 6.30957344e+02  8.99983392e+01 
 6.68343918e+02  8.99982396e+01 
 7.07945784e+02  8.99981342e+01 
 7.49894209e+02  8.99980226e+01 
 7.94328235e+02  8.99979044e+01 
 8.41395142e+02  8.99977793e+01 
 8.91250938e+02  8.99976468e+01 
 9.44060876e+02  8.99975065e+01 
 1.00000000e+03  8.99973580e+01 
 1.05925373e+03  8.99972007e+01 
 1.12201845e+03  8.99970341e+01 
 1.18850223e+03  8.99968577e+01 
 1.25892541e+03  8.99966708e+01 
 1.33352143e+03  8.99964730e+01 
 1.41253754e+03  8.99962634e+01 
 1.49623566e+03  8.99960415e+01 
 1.58489319e+03  8.99958064e+01 
 1.67880402e+03  8.99955575e+01 
 1.77827941e+03  8.99952938e+01 
 1.88364909e+03  8.99950145e+01 
 1.99526231e+03  8.99947187e+01 
 2.11348904e+03  8.99944054e+01 
 2.23872114e+03  8.99940735e+01 
 2.37137371e+03  8.99937220e+01 
 2.51188643e+03  8.99933497e+01 
 2.66072506e+03  8.99929553e+01 
 2.81838293e+03  8.99925376e+01 
 2.98538262e+03  8.99920952e+01 
 3.16227766e+03  8.99916265e+01 
 3.34965439e+03  8.99911301e+01 
 3.54813389e+03  8.99906043e+01 
 3.75837404e+03  8.99900474e+01 
 3.98107171e+03  8.99894575e+01 
 4.21696503e+03  8.99888326e+01 
 4.46683592e+03  8.99881707e+01 
 4.73151259e+03  8.99874696e+01 
 5.01187234e+03  8.99867270e+01 
 5.30884444e+03  8.99859403e+01 
 5.62341325e+03  8.99851071e+01 
 5.95662144e+03  8.99842245e+01 
 6.30957344e+03  8.99832896e+01 
 6.68343918e+03  8.99822994e+01 
 7.07945784e+03  8.99812504e+01 
 7.49894209e+03  8.99801394e+01 
 7.94328235e+03  8.99789625e+01 
 8.41395142e+03  8.99777158e+01 
 8.91250938e+03  8.99763953e+01 
 9.44060876e+03  8.99749966e+01 
 1.00000000e+04  8.99735150e+01 
 1.05925373e+04  8.99719456e+01 
 1.12201845e+04  8.99702832e+01 
 1.18850223e+04  8.99685223e+01 
 1.25892541e+04  8.99666571e+01 
 1.33352143e+04  8.99646814e+01 
 1.41253754e+04  8.99625886e+01 
 1.49623566e+04  8.99603718e+01 
 1.58489319e+04  8.99580237e+01 
 1.67880402e+04  8.99555364e+01 
 1.77827941e+04  8.99529018e+01 
 1.88364909e+04  8.99501111e+01 
 1.99526231e+04  8.99471551e+01 
 2.11348904e+04  8.99440239e+01 
 2.23872114e+04  8.99407072e+01 
 2.37137371e+04  8.99371940e+01 
 2.51188643e+04  8.99334726e+01 
 2.66072506e+04  8.99295308e+01 
 2.81838293e+04  8.99253555e+01 
 2.98538262e+04  8.99209328e+01 
 3.16227766e+04  8.99162482e+01 
 3.34965439e+04  8.99112860e+01 
 3.54813389e+04  8.99060299e+01 
 3.75837404e+04  8.99004624e+01 
 3.98107171e+04  8.98945652e+01 
 4.21696503e+04  8.98883186e+01 
 4.46683592e+04  8.98817021e+01 
 4.73151259e+04  8.98746938e+01 
 5.01187234e+04  8.98672704e+01 
 5.30884444e+04  8.98594075e+01 
 5.62341325e+04  8.98510789e+01 
 5.95662144e+04  8.98422573e+01 
 6.30957344e+04  8.98329134e+01 
 6.68343918e+04  8.98230165e+01 
 7.07945784e+04  8.98125338e+01 
 7.49894209e+04  8.98014307e+01 
 7.94328235e+04  8.97896707e+01 
 8.41395142e+04  8.97772150e+01 
 8.91250938e+04  8.97640226e+01 
 9.44060876e+04  8.97500500e+01 
 1.00000000e+05  8.97352514e+01 
 1.05925373e+05  8.97195782e+01 
 1.12201845e+05  8.97029790e+01 
 1.18850223e+05  8.96853993e+01 
 1.25892541e+05  8.96667818e+01 
 1.33352143e+05  8.96470655e+01 
 1.41253754e+05  8.96261863e+01 
 1.49623566e+05  8.96040763e+01 
 1.58489319e+05  8.95806635e+01 
 1.67880402e+05  8.95558724e+01 
 1.77827941e+05  8.95296229e+01 
 1.88364909e+05  8.95018304e+01 
 1.99526231e+05  8.94724061e+01 
 2.11348904e+05  8.94412558e+01 
 2.23872114e+05  8.94082807e+01 
 2.37137371e+05  8.93733766e+01 
 2.51188643e+05  8.93364337e+01 
 2.66072506e+05  8.92973367e+01 
 2.81838293e+05  8.92559646e+01 
 2.98538262e+05  8.92121900e+01 
 3.16227766e+05  8.91658799e+01 
 3.34965439e+05  8.91168946e+01 
 3.54813389e+05  8.90650884e+01 
 3.75837404e+05  8.90103091e+01 
