corner,dcgain,ugf_mhz,pm_deg,power_mw,vout_V
tt,83.57218,97.69056,97.825,0.6283251999999999,0.6000734
ff,83.41236,98.58738,99.056,0.6396737,0.6000498
ss,82.88383,96.93533,97.4036,0.6159260999999999,0.6001414
