 1.00000000e+00 -1.15472977e+02 
 1.05925373e+00 -1.15472977e+02 
 1.12201845e+00 -1.15472977e+02 
 1.18850223e+00 -1.15472977e+02 
 1.25892541e+00 -1.15472977e+02 
 1.33352143e+00 -1.15472977e+02 
 1.41253754e+00 -1.15472977e+02 
 1.49623566e+00 -1.15472977e+02 
 1.58489319e+00 -1.15472977e+02 
 1.67880402e+00 -1.15472977e+02 
 1.77827941e+00 -1.15472977e+02 
 1.88364909e+00 -1.15472977e+02 
 1.99526231e+00 -1.15472977e+02 
 2.11348904e+00 -1.15472977e+02 
 2.23872114e+00 -1.15472977e+02 
 2.37137371e+00 -1.15472977e+02 
 2.51188643e+00 -1.15472977e+02 
 2.66072506e+00 -1.15472977e+02 
 2.81838293e+00 -1.15472977e+02 
 2.98538262e+00 -1.15472977e+02 
 3.16227766e+00 -1.15472977e+02 
 3.34965439e+00 -1.15472977e+02 
 3.54813389e+00 -1.15472977e+02 
 3.75837404e+00 -1.15472977e+02 
 3.98107171e+00 -1.15472977e+02 
 4.21696503e+00 -1.15472976e+02 
 4.46683592e+00 -1.15472976e+02 
 4.73151259e+00 -1.15472976e+02 
 5.01187234e+00 -1.15472976e+02 
 5.30884444e+00 -1.15472976e+02 
 5.62341325e+00 -1.15472976e+02 
 5.95662144e+00 -1.15472975e+02 
 6.30957344e+00 -1.15472975e+02 
 6.68343918e+00 -1.15472975e+02 
 7.07945784e+00 -1.15472975e+02 
 7.49894209e+00 -1.15472974e+02 
 7.94328235e+00 -1.15472974e+02 
 8.41395142e+00 -1.15472973e+02 
 8.91250938e+00 -1.15472973e+02 
 9.44060876e+00 -1.15472972e+02 
 1.00000000e+01 -1.15472972e+02 
 1.05925373e+01 -1.15472971e+02 
 1.12201845e+01 -1.15472970e+02 
 1.18850223e+01 -1.15472969e+02 
 1.25892541e+01 -1.15472968e+02 
 1.33352143e+01 -1.15472967e+02 
 1.41253754e+01 -1.15472966e+02 
 1.49623566e+01 -1.15472964e+02 
 1.58489319e+01 -1.15472963e+02 
 1.67880402e+01 -1.15472961e+02 
 1.77827941e+01 -1.15472959e+02 
 1.88364909e+01 -1.15472957e+02 
 1.99526231e+01 -1.15472954e+02 
 2.11348904e+01 -1.15472951e+02 
 2.23872114e+01 -1.15472948e+02 
 2.37137371e+01 -1.15472945e+02 
 2.51188643e+01 -1.15472941e+02 
 2.66072506e+01 -1.15472936e+02 
 2.81838293e+01 -1.15472931e+02 
 2.98538262e+01 -1.15472925e+02 
 3.16227766e+01 -1.15472919e+02 
 3.34965439e+01 -1.15472912e+02 
 3.54813389e+01 -1.15472904e+02 
 3.75837404e+01 -1.15472895e+02 
 3.98107171e+01 -1.15472885e+02 
 4.21696503e+01 -1.15472873e+02 
 4.46683592e+01 -1.15472861e+02 
 4.73151259e+01 -1.15472846e+02 
 5.01187234e+01 -1.15472830e+02 
 5.30884444e+01 -1.15472812e+02 
 5.62341325e+01 -1.15472792e+02 
 5.95662144e+01 -1.15472770e+02 
 6.30957344e+01 -1.15472744e+02 
 6.68343918e+01 -1.15472716e+02 
 7.07945784e+01 -1.15472684e+02 
 7.49894209e+01 -1.15472648e+02 
 7.94328235e+01 -1.15472608e+02 
 8.41395142e+01 -1.15472563e+02 
 8.91250938e+01 -1.15472512e+02 
 9.44060876e+01 -1.15472456e+02 
 1.00000000e+02 -1.15472392e+02 
 1.05925373e+02 -1.15472320e+02 
 1.12201845e+02 -1.15472240e+02 
 1.18850223e+02 -1.15472150e+02 
 1.25892541e+02 -1.15472049e+02 
 1.33352143e+02 -1.15471936e+02 
 1.41253754e+02 -1.15471809e+02 
 1.49623566e+02 -1.15471666e+02 
 1.58489319e+02 -1.15471507e+02 
 1.67880402e+02 -1.15471327e+02 
 1.77827941e+02 -1.15471126e+02 
 1.88364909e+02 -1.15470900e+02 
 1.99526231e+02 -1.15470646e+02 
 2.11348904e+02 -1.15470362e+02 
 2.23872114e+02 -1.15470043e+02 
 2.37137371e+02 -1.15469685e+02 
 2.51188643e+02 -1.15469284e+02 
 2.66072506e+02 -1.15468833e+02 
 2.81838293e+02 -1.15468328e+02 
 2.98538262e+02 -1.15467761e+02 
 3.16227766e+02 -1.15467124e+02 
 3.34965439e+02 -1.15466411e+02 
 3.54813389e+02 -1.15465610e+02 
 3.75837404e+02 -1.15464712e+02 
 3.98107171e+02 -1.15463705e+02 
 4.21696503e+02 -1.15462575e+02 
 4.46683592e+02 -1.15461307e+02 
 4.73151259e+02 -1.15459885e+02 
 5.01187234e+02 -1.15458290e+02 
 5.30884444e+02 -1.15456501e+02 
 5.62341325e+02 -1.15454495e+02 
 5.95662144e+02 -1.15452246e+02 
 6.30957344e+02 -1.15449723e+02 
 6.68343918e+02 -1.15446894e+02 
 7.07945784e+02 -1.15443722e+02 
 7.49894209e+02 -1.15440165e+02 
 7.94328235e+02 -1.15436179e+02 
 8.41395142e+02 -1.15431710e+02 
 8.91250938e+02 -1.15426701e+02 
 9.44060876e+02 -1.15421088e+02 
 1.00000000e+03 -1.15414799e+02 
 1.05925373e+03 -1.15407753e+02 
 1.12201845e+03 -1.15399861e+02 
 1.18850223e+03 -1.15391023e+02 
 1.25892541e+03 -1.15381128e+02 
 1.33352143e+03 -1.15370053e+02 
 1.41253754e+03 -1.15357660e+02 
 1.49623566e+03 -1.15343796e+02 
 1.58489319e+03 -1.15328294e+02 
 1.67880402e+03 -1.15310965e+02 
 1.77827941e+03 -1.15291604e+02 
 1.88364909e+03 -1.15269983e+02 
 1.99526231e+03 -1.15245852e+02 
 2.11348904e+03 -1.15218935e+02 
 2.23872114e+03 -1.15188930e+02 
 2.37137371e+03 -1.15155510e+02 
 2.51188643e+03 -1.15118316e+02 
 2.66072506e+03 -1.15076959e+02 
 2.81838293e+03 -1.15031020e+02 
 2.98538262e+03 -1.14980048e+02 
 3.16227766e+03 -1.14923561e+02 
 3.34965439e+03 -1.14861043e+02 
 3.54813389e+03 -1.14791954e+02 
 3.75837404e+03 -1.14715721e+02 
 3.98107171e+03 -1.14631750e+02 
 4.21696503e+03 -1.14539429e+02 
 4.46683592e+03 -1.14438127e+02 
 4.73151259e+03 -1.14327211e+02 
 5.01187234e+03 -1.14206045e+02 
 5.30884444e+03 -1.14074005e+02 
 5.62341325e+03 -1.13930483e+02 
 5.95662144e+03 -1.13774906e+02 
 6.30957344e+03 -1.13606738e+02 
 6.68343918e+03 -1.13425498e+02 
 7.07945784e+03 -1.13230767e+02 
 7.49894209e+03 -1.13022200e+02 
 7.94328235e+03 -1.12799532e+02 
 8.41395142e+03 -1.12562586e+02 
 8.91250938e+03 -1.12311280e+02 
 9.44060876e+03 -1.12045624e+02 
 1.00000000e+04 -1.11765724e+02 
 1.05925373e+04 -1.11471779e+02 
 1.12201845e+04 -1.11164074e+02 
 1.18850223e+04 -1.10842973e+02 
 1.25892541e+04 -1.10508913e+02 
 1.33352143e+04 -1.10162392e+02 
 1.41253754e+04 -1.09803958e+02 
 1.49623566e+04 -1.09434197e+02 
 1.58489319e+04 -1.09053728e+02 
 1.67880402e+04 -1.08663182e+02 
 1.77827941e+04 -1.08263204e+02 
 1.88364909e+04 -1.07854435e+02 
 1.99526231e+04 -1.07437509e+02 
 2.11348904e+04 -1.07013046e+02 
 2.23872114e+04 -1.06581646e+02 
 2.37137371e+04 -1.06143886e+02 
 2.51188643e+04 -1.05700316e+02 
 2.66072506e+04 -1.05251459e+02 
