corner,dcgain,ugf_mhz,pm_deg,power_mw,vout_V
tt,78.66288,12.54254,81.54517,0.9625422,0.9178375
ff,82.30021,51.32259,102.711,0.9705560999999999,0.9106738
ss,71.21548,4.384557,85.84795,0.9548778,0.9400543
